Experience_Years,Training_Hours_Monthly,Projects_Completed,Attendance_Percent,Performance_Score
15,49,0,68.83,78.62
4,31,5,85.94,90.63
2,21,8,61.04,64.36
11,50,27,93.93,100.0
7,12,4,98.04,92.04
2,46,26,86.48,100.0
0,22,13,80.51,100.0
2,28,9,89.03,100.0
4,21,1,73.05,62.96
14,0,4,85.06,86.85
13,28,0,88.76,74.0
2,47,24,65.71,100.0
0,4,9,65.6,67.75
4,34,28,88.65,100.0
13,9,25,77.27,100.0
6,18,24,95.57,100.0
8,36,21,72.48,100.0
14,6,26,61.7,100.0
14,45,8,86.0,100.0
9,34,29,87.37,100.0
12,44,2,82.14,85.24
18,12,14,87.33,100.0
6,9,3,80.95,81.3
16,1,12,87.71,100.0
19,5,5,61.76,75.47
3,7,19,74.74,100.0
4,35,16,68.43,100.0
6,24,22,63.97,100.0
12,43,4,69.36,82.39
14,46,29,67.65,100.0
10,39,14,98.93,100.0
3,6,7,71.46,65.35
12,45,24,69.24,100.0
6,22,4,93.39,94.19
18,18,23,76.76,100.0
1,45,12,76.86,89.75
9,21,0,77.74,76.93
12,12,0,76.66,69.29
20,20,6,73.06,100.0
5,0,30,71.45,100.0
11,18,21,95.28,100.0
11,32,4,66.47,79.17
19,3,13,67.24,100.0
10,41,14,82.87,100.0
6,2,20,73.75,100.0
0,26,29,76.86,100.0
0,40,24,92.26,100.0
19,34,16,96.15,100.0
12,27,23,91.62,100.0
8,5,17,69.4,87.9
2,5,6,99.2,71.76
6,43,21,74.53,100.0
5,22,25,66.76,100.0
7,32,17,79.98,100.0
8,15,27,89.01,100.0
4,23,28,63.33,100.0
0,4,18,85.37,91.13
18,40,19,94.32,100.0
9,41,6,70.47,87.65
11,12,7,87.72,95.49
14,46,12,76.0,100.0
8,11,26,76.57,100.0
19,4,17,71.23,100.0
16,36,23,84.98,100.0
16,30,10,74.44,100.0
19,27,8,93.24,100.0
11,27,22,98.52,100.0
6,29,0,97.4,72.88
1,17,21,66.53,100.0
2,43,7,60.57,58.67
16,26,20,77.54,100.0
4,34,11,89.16,100.0
16,25,30,99.1,100.0
16,38,1,91.34,100.0
16,48,14,83.22,100.0
1,50,20,61.05,98.55
1,17,23,93.02,100.0
4,32,17,67.09,96.87
0,24,16,62.22,87.42
0,30,14,94.01,100.0
18,36,19,82.65,100.0
1,1,19,65.14,73.48
20,32,8,75.46,100.0
11,38,2,63.42,62.37
5,42,19,85.52,100.0
3,42,18,71.3,100.0
10,31,17,94.64,100.0
16,17,19,74.31,100.0
5,16,29,79.79,100.0
4,33,7,62.54,69.08
19,38,0,71.02,76.53
1,6,23,87.07,100.0
5,41,23,89.45,100.0
10,34,14,69.71,100.0
15,29,18,80.15,100.0
15,11,29,92.7,100.0
0,34,25,75.2,100.0
8,10,9,65.35,84.11
5,43,11,77.27,97.64
15,3,27,84.03,100.0
2,24,5,60.3,59.69
19,47,28,73.94,100.0
3,31,12,84.3,100.0
18,19,3,98.08,100.0
2,49,12,76.34,100.0
18,30,16,66.52,100.0
19,3,29,81.37,100.0
6,37,0,71.43,54.5
19,46,4,68.59,92.7
8,0,27,83.62,100.0
0,2,23,96.64,100.0
7,36,16,93.41,100.0
6,21,17,67.29,100.0
17,16,6,90.64,100.0
7,13,15,69.19,100.0
0,40,7,71.63,79.6
10,34,11,96.8,100.0
17,12,13,96.44,100.0
9,34,18,66.75,100.0
2,42,10,62.57,78.3
6,1,11,71.72,74.37
15,46,12,83.27,100.0
15,12,7,95.08,100.0
19,50,0,64.75,81.0
16,15,8,76.6,100.0
1,17,27,70.87,100.0
0,6,1,60.6,25.83
15,44,13,91.54,100.0
11,35,12,92.53,100.0
4,40,15,68.85,94.56
4,29,1,66.05,59.92
8,41,3,65.78,63.36
8,40,11,78.56,100.0
2,6,15,69.86,86.88
18,14,9,80.45,100.0
15,39,2,75.39,100.0
15,18,3,68.44,77.38
2,42,5,90.05,91.69
19,36,22,66.01,100.0
0,1,4,91.96,59.97
19,41,17,82.46,100.0
10,47,2,93.28,89.62
16,12,9,60.19,92.69
7,39,10,89.97,100.0
3,40,18,62.06,93.03
5,42,13,98.0,100.0
7,42,20,88.11,100.0
19,30,27,72.81,100.0
2,15,10,72.79,82.24
15,41,27,94.46,100.0
2,43,20,96.11,100.0
17,5,3,95.66,94.26
13,27,23,92.35,100.0
17,31,21,92.76,100.0
1,43,5,82.91,80.96
2,9,16,61.13,68.98
15,49,21,63.47,100.0
8,17,18,85.98,100.0
3,3,12,76.05,82.6
0,8,21,82.69,100.0
3,6,9,69.24,65.15
0,49,28,85.98,100.0
13,7,10,69.71,92.96
20,42,28,78.43,100.0
15,6,5,79.15,86.42
19,40,1,67.11,88.63
7,39,0,95.05,74.56
6,2,10,81.03,96.1
2,16,30,94.67,100.0
16,1,15,70.5,100.0
0,14,2,66.89,50.77
15,45,4,60.72,82.15
11,28,14,63.75,100.0
18,49,14,65.9,100.0
13,47,3,63.15,70.0
5,21,22,95.88,100.0
5,3,3,96.46,63.52
12,5,7,97.49,97.45
18,37,6,98.39,100.0
7,25,25,79.67,100.0
1,10,24,81.2,100.0
20,25,16,65.23,100.0
0,16,14,65.48,78.27
14,23,4,90.91,100.0
0,27,12,94.23,100.0
4,34,3,91.39,85.01
15,30,21,93.38,100.0
18,12,16,71.06,100.0
3,34,21,78.64,100.0
2,15,16,78.37,100.0
16,14,13,99.81,100.0
16,42,13,97.97,100.0
11,17,16,83.94,100.0
13,46,7,65.52,90.7
20,36,1,70.34,84.57
5,47,25,74.55,100.0
2,47,12,94.93,100.0
8,48,29,66.83,100.0
4,40,21,68.79,100.0
16,26,15,73.98,100.0
13,34,29,97.08,100.0
20,44,15,80.15,100.0
2,34,5,85.87,93.42
0,27,21,75.49,100.0
19,38,23,67.54,100.0
20,37,3,68.91,90.69
0,8,2,92.11,64.66
2,11,5,95.74,80.8
17,14,3,79.72,97.43
9,20,17,74.28,100.0
2,34,5,92.31,88.66
7,41,25,86.92,100.0
13,32,4,61.63,71.82
17,50,26,74.03,100.0
14,18,8,87.29,100.0
1,22,10,82.95,93.55
9,12,5,99.12,98.63
1,43,29,94.64,100.0
16,0,15,62.39,88.31
7,50,18,89.03,100.0
0,28,10,73.45,89.07
8,23,20,87.28,100.0
10,15,14,84.69,100.0
15,24,25,80.12,100.0
6,22,23,94.12,100.0
9,27,8,88.35,100.0
2,46,23,95.58,100.0
17,15,30,71.26,100.0
12,42,18,73.93,100.0
6,37,24,84.88,100.0
3,10,18,98.66,100.0
12,2,23,74.86,100.0
19,14,25,61.29,100.0
0,0,8,77.84,63.81
7,6,22,81.76,100.0
13,0,3,92.04,66.9
15,48,9,89.14,100.0
13,31,30,98.59,100.0
11,8,8,91.31,100.0
18,28,18,71.95,100.0
14,25,14,85.66,100.0
1,22,18,86.89,100.0
1,44,1,99.92,75.31
18,42,9,65.55,95.64
16,28,30,67.65,100.0
19,37,18,66.22,100.0
9,32,16,83.56,100.0
5,6,30,65.41,100.0
14,11,19,86.24,100.0
10,30,23,92.15,100.0
4,31,20,77.31,100.0
0,19,1,82.43,66.95
7,50,18,96.51,100.0
20,16,16,82.78,100.0
11,35,17,68.34,100.0
11,2,16,73.73,100.0
4,0,1,81.19,46.78
6,49,18,66.2,100.0
3,26,0,84.5,64.93
5,46,10,99.97,100.0
12,39,24,86.1,100.0
19,32,9,74.9,100.0
14,19,4,73.27,100.0
2,13,15,97.26,100.0
7,35,23,94.86,100.0
19,4,4,78.89,100.0
15,22,23,74.14,100.0
12,44,22,88.42,100.0
17,14,11,72.58,100.0
9,5,3,64.78,57.87
18,32,30,72.41,100.0
16,18,22,77.37,100.0
18,12,5,70.22,89.82
4,28,18,68.67,100.0
20,5,8,60.25,84.31
8,14,11,85.23,100.0
11,15,25,84.58,100.0
20,23,14,67.52,100.0
0,22,15,97.75,100.0
0,47,12,76.38,96.85
14,9,24,61.02,100.0
1,40,29,68.79,100.0
15,40,20,87.68,100.0
7,48,23,68.06,100.0
12,16,6,62.16,70.06
20,48,24,84.71,100.0
0,43,22,80.73,100.0
15,44,19,90.45,100.0
6,29,3,90.91,97.45
4,43,10,98.4,100.0
2,45,7,62.28,59.49
11,9,5,61.56,60.97
15,18,24,99.49,100.0
18,28,29,85.79,100.0
4,1,9,88.61,80.87
13,35,29,63.86,100.0
4,18,6,62.79,62.55
14,6,6,66.41,77.41
16,25,3,77.09,100.0
13,14,2,64.41,69.82
19,46,23,77.85,100.0
4,37,6,82.46,84.69
11,2,3,60.01,49.08
15,37,12,64.57,99.93
15,15,19,75.01,100.0
20,1,16,62.13,98.3
6,30,26,65.34,100.0
3,27,6,69.27,68.35
0,6,16,77.18,90.2
4,29,25,88.59,100.0
9,42,25,65.31,100.0
4,6,3,89.52,79.18
3,35,10,94.2,100.0
1,28,29,86.06,100.0
19,23,2,61.75,78.56
9,38,10,77.63,100.0
18,3,2,86.4,90.36
0,28,11,99.14,98.59
4,43,0,98.07,66.7
12,4,3,75.83,73.62
3,28,13,84.64,100.0
15,29,0,95.63,92.99
15,28,13,93.24,100.0
1,25,12,79.18,100.0
16,18,12,70.45,100.0
19,25,23,65.48,100.0
11,36,14,79.52,100.0
17,26,30,88.91,100.0
2,29,16,98.79,100.0
0,50,11,94.47,100.0
0,29,29,68.17,100.0
18,2,21,88.79,100.0
10,42,22,71.56,100.0
4,6,30,87.34,100.0
11,48,25,86.63,100.0
2,8,13,70.9,92.37
0,40,11,69.38,88.72
0,41,17,64.16,92.57
7,12,3,62.02,59.32
9,14,26,94.34,100.0
10,4,13,61.99,82.15
11,28,18,63.55,100.0
12,34,28,69.55,100.0
11,26,12,95.51,100.0
13,26,24,73.32,100.0
1,7,29,67.67,100.0
18,31,22,88.62,100.0
17,19,17,72.76,100.0
2,9,10,73.33,87.71
16,12,27,89.56,100.0
7,28,5,70.07,79.62
9,34,8,95.87,100.0
1,7,11,82.46,72.8
18,28,18,81.51,100.0
8,30,13,70.59,100.0
6,40,14,93.4,100.0
3,29,10,82.91,100.0
20,21,5,66.22,95.69
17,20,13,68.25,100.0
12,11,2,78.73,77.54
10,10,18,91.19,100.0
3,1,19,97.57,100.0
20,49,24,86.54,100.0
3,40,10,80.25,100.0
9,1,28,70.03,100.0
4,33,23,86.91,100.0
8,2,16,99.29,100.0
2,15,28,79.05,100.0
16,50,27,66.49,100.0
2,3,26,64.13,92.23
15,22,16,70.77,100.0
3,49,22,82.78,100.0
17,19,2,97.87,100.0
16,24,13,71.97,100.0
6,29,26,72.22,100.0
4,17,6,79.25,83.25
11,41,24,96.74,100.0
16,10,18,76.76,100.0
12,28,2,68.93,79.72
2,16,1,66.53,42.52
8,25,25,78.28,100.0
16,22,16,92.03,100.0
16,47,8,71.65,100.0
19,19,21,80.5,100.0
15,44,5,84.12,100.0
12,1,23,78.02,100.0
18,23,26,67.67,100.0
16,30,20,96.87,100.0
3,26,8,82.62,98.17
11,1,30,89.17,100.0
8,13,26,85.44,100.0
18,3,4,99.92,98.11
11,48,1,78.25,88.05
8,12,21,77.0,100.0
6,35,14,74.41,100.0
13,34,8,74.47,100.0
19,43,18,71.03,100.0
18,7,9,99.23,100.0
14,1,3,94.83,80.7
15,5,9,72.67,87.29
20,30,26,72.21,100.0
4,9,7,64.14,58.95
2,43,21,95.08,100.0
11,20,12,74.87,100.0
19,41,6,82.9,100.0
20,9,6,96.02,100.0
3,22,3,76.32,77.07
20,2,14,92.27,100.0
15,31,11,77.21,100.0
6,19,15,88.04,100.0
12,9,5,77.25,88.15
20,28,27,75.71,100.0
9,40,8,99.63,100.0
6,50,2,84.49,81.68
13,45,7,74.7,100.0
4,33,6,70.31,64.17
2,36,3,61.59,52.72
10,19,25,88.26,100.0
10,7,12,74.89,100.0
17,6,18,92.85,100.0
14,5,29,74.55,100.0
11,10,6,74.93,97.46
8,43,9,91.17,100.0
9,17,24,79.58,100.0
11,50,11,95.4,100.0
16,41,25,83.61,100.0
5,28,2,69.63,61.57
6,24,30,82.73,100.0
13,20,25,60.16,100.0
12,45,24,72.5,100.0
7,2,28,68.32,100.0
9,17,23,86.17,100.0
8,23,11,65.44,85.22
17,46,18,71.6,100.0
1,37,14,73.25,100.0
4,9,7,60.13,62.46
4,26,11,61.87,80.22
5,11,19,72.45,100.0
18,6,5,68.89,85.26
7,16,27,64.68,100.0
15,0,9,66.17,76.78
12,49,1,93.42,100.0
0,25,23,87.33,100.0
19,14,12,79.36,100.0
16,50,24,96.35,100.0
6,32,6,61.18,68.99
12,36,7,73.8,97.55
3,46,22,92.94,100.0
3,30,15,85.13,100.0
5,34,10,99.27,100.0
18,0,25,97.78,100.0
11,7,3,66.8,66.63
6,11,16,98.88,100.0
9,18,15,97.82,100.0
18,24,18,74.94,100.0
6,31,22,99.32,100.0
2,11,26,61.43,100.0
12,12,10,86.43,100.0
12,27,6,70.65,95.85
17,0,26,65.18,100.0
19,50,12,83.1,100.0
7,5,18,72.25,99.75
8,7,16,86.67,100.0
6,3,25,81.6,100.0
0,4,24,75.7,100.0
2,24,27,67.27,100.0
12,21,21,84.05,100.0
16,27,12,93.17,100.0
0,38,28,84.0,100.0
5,22,11,84.42,100.0
20,3,6,80.47,99.63
5,3,0,75.53,41.58
11,46,0,78.3,81.6
12,20,19,99.58,100.0
12,36,22,89.99,100.0
14,40,13,77.22,100.0
20,1,26,78.29,100.0
15,6,14,79.99,100.0
20,48,10,86.37,100.0
10,15,23,78.64,100.0
4,16,25,87.45,100.0
3,19,8,73.17,88.59
2,22,16,76.43,100.0
18,33,3,94.56,100.0
19,10,19,73.16,100.0
17,33,18,98.58,100.0
14,32,6,66.9,90.57
8,25,0,69.67,60.06
16,1,8,78.55,99.95
13,22,12,91.9,100.0
14,40,23,89.26,100.0
0,21,1,66.98,46.09
20,33,1,69.47,83.36
2,14,23,83.01,100.0
15,9,26,71.81,100.0
10,14,29,76.89,100.0
11,41,14,79.46,100.0
9,28,16,83.77,100.0
15,22,12,70.04,100.0
7,16,6,66.53,74.33
5,8,8,75.94,86.57
11,49,11,63.28,99.81
20,35,30,81.07,100.0
7,8,2,93.58,76.86
3,15,22,64.76,100.0
7,35,21,64.51,100.0
17,47,14,63.21,100.0
4,50,6,93.91,91.83
8,32,22,63.23,100.0
3,30,25,99.34,100.0
16,5,0,74.33,63.3
8,9,13,73.15,98.3
0,15,18,63.67,77.4
20,3,15,83.43,100.0
19,21,9,83.44,100.0
12,12,0,79.75,76.85
15,15,4,72.44,93.25
12,28,2,74.74,85.01
13,5,16,72.82,100.0
2,25,17,77.05,100.0
5,10,25,73.67,100.0
17,23,20,87.02,100.0
18,28,26,71.83,100.0
4,2,18,74.03,96.03
14,9,21,77.42,100.0
1,0,24,60.16,91.03
9,42,21,79.68,100.0
17,25,17,70.23,100.0
12,11,15,62.25,90.89
4,13,1,96.44,72.8
0,24,14,72.9,94.1
0,7,12,77.04,78.77
17,42,12,93.09,100.0
14,3,15,66.67,99.49
16,27,7,94.01,100.0
10,6,10,69.67,83.61
20,9,7,83.56,100.0
16,50,21,87.43,100.0
12,35,9,96.2,100.0
0,1,22,84.31,100.0
1,25,0,78.13,54.83
8,49,30,82.89,100.0
2,13,11,68.08,82.92
0,15,8,87.56,94.36
20,42,4,67.48,97.69
15,41,8,82.29,100.0
5,16,15,85.9,100.0
16,45,17,95.94,100.0
4,21,29,78.01,100.0
4,3,7,91.01,75.96
5,18,22,66.7,100.0
2,1,10,66.25,61.72
20,38,29,80.99,100.0
4,8,19,83.85,100.0
20,18,18,85.29,100.0
4,15,3,89.83,65.65
9,24,19,71.8,100.0
9,47,25,84.9,100.0
18,17,9,67.53,100.0
16,22,23,68.76,100.0
20,20,12,62.69,100.0
13,10,28,89.88,100.0
8,38,19,80.28,100.0
13,40,13,69.53,100.0
0,3,20,82.25,100.0
18,24,1,74.17,85.7
12,31,28,93.49,100.0
12,29,3,81.13,100.0
3,44,6,61.19,59.72
0,25,18,99.4,100.0
16,35,29,62.97,100.0
7,50,29,87.84,100.0
1,33,16,77.49,100.0
7,8,15,69.97,95.49
6,11,12,87.06,100.0
1,1,23,65.04,84.96
2,37,23,94.33,100.0
17,4,21,70.02,100.0
11,4,22,74.46,100.0
0,21,30,85.31,100.0
11,4,25,60.04,100.0
4,3,26,78.91,100.0
16,8,17,95.77,100.0
15,28,20,87.22,100.0
14,21,11,75.52,100.0
14,26,22,86.42,100.0
4,9,30,97.46,100.0
20,15,24,67.51,100.0
13,41,0,81.27,73.93
1,41,14,69.39,95.8
10,50,2,94.17,97.15
18,9,5,88.84,100.0
6,5,13,92.04,100.0
5,48,22,97.72,100.0
1,4,5,69.29,53.23
5,5,0,61.95,23.9
17,46,19,71.64,100.0
1,24,5,75.97,79.55
17,50,7,85.01,100.0
14,49,25,91.91,100.0
18,3,14,73.99,100.0
1,39,13,78.94,100.0
19,47,15,91.42,100.0
5,31,19,69.01,100.0
0,50,22,68.69,100.0
14,34,15,83.57,100.0
9,9,26,77.44,100.0
18,33,18,97.96,100.0
16,35,23,74.28,100.0
4,5,0,90.38,64.56
3,42,3,83.32,75.03
9,45,23,62.18,100.0
16,15,9,63.38,81.95
9,18,19,68.13,100.0
16,33,17,65.73,100.0
19,24,1,73.17,84.24
4,30,3,83.16,85.37
1,48,14,84.09,100.0
5,40,28,83.51,100.0
20,16,3,64.7,90.01
1,46,15,84.01,100.0
12,29,14,76.39,100.0
10,38,17,96.12,100.0
10,30,6,96.48,100.0
15,18,14,90.73,100.0
10,34,21,88.12,100.0
18,28,10,64.6,100.0
14,0,18,63.39,100.0
15,3,7,93.63,100.0
10,27,23,77.08,100.0
15,17,0,78.05,76.26
7,25,2,93.91,93.88
3,39,4,84.86,85.07
7,18,17,67.18,100.0
3,5,11,68.44,73.81
2,0,11,60.26,48.64
2,7,20,88.43,100.0
17,32,26,79.42,100.0
18,50,25,98.0,100.0
18,42,18,88.56,100.0
20,20,30,64.13,100.0
4,23,8,66.46,82.12
17,24,10,80.07,100.0
9,46,16,96.99,100.0
20,42,15,69.89,100.0
5,18,3,93.02,90.84
0,28,9,72.49,87.96
4,9,21,70.8,100.0
8,11,14,96.06,100.0
11,32,24,61.89,100.0
13,6,18,86.43,100.0
1,16,30,61.73,100.0
16,9,2,92.03,100.0
13,30,30,93.18,100.0
12,5,27,95.73,100.0
8,16,20,67.44,100.0
14,49,22,64.98,100.0
14,36,29,80.14,100.0
10,17,4,70.87,81.1
15,25,10,84.25,100.0
16,48,23,80.55,100.0
3,15,4,65.79,61.53
0,7,6,89.57,75.77
7,23,5,92.15,99.93
16,12,29,98.52,100.0
2,28,25,75.82,100.0
19,31,12,73.51,100.0
14,23,1,67.69,62.14
14,15,18,67.23,100.0
13,10,10,72.84,100.0
13,31,26,99.27,100.0
1,5,19,63.69,86.8
12,34,4,70.37,86.33
13,32,8,63.44,96.41
18,17,5,70.95,96.48
6,36,16,63.7,91.07
2,12,18,80.33,100.0
14,9,22,77.53,100.0
13,36,7,66.96,100.0
10,25,6,66.99,86.8
14,45,4,85.04,100.0
12,16,14,75.48,100.0
17,0,9,62.25,73.82
5,24,23,96.81,100.0
2,33,15,76.2,100.0
18,38,8,83.64,100.0
14,9,6,95.42,100.0
4,19,10,76.09,96.87
9,6,8,92.83,97.05
6,15,16,96.59,100.0
16,36,29,66.96,100.0
6,28,8,95.7,100.0
11,11,2,64.79,59.42
16,16,21,71.01,100.0
12,47,7,92.33,100.0
19,19,18,96.03,100.0
3,25,19,87.37,100.0
9,47,15,64.19,100.0
2,18,6,80.92,85.98
8,46,27,82.91,100.0
12,11,6,71.27,89.13
17,20,19,99.65,100.0
14,41,24,73.43,100.0
3,33,12,68.41,97.87
14,6,2,64.41,58.34
1,44,11,75.14,98.37
14,34,23,87.7,100.0
7,14,7,69.26,72.13
7,0,12,90.78,97.83
16,25,19,65.42,100.0
11,34,15,77.62,100.0
18,24,6,88.09,100.0
9,41,3,65.41,66.33
8,14,28,83.91,100.0
4,21,11,91.96,100.0
5,5,16,83.82,100.0
19,14,0,80.46,80.82
1,23,29,93.53,100.0
12,20,16,99.42,100.0
5,6,1,67.25,47.26
4,28,5,87.65,83.57
0,31,11,63.23,80.11
20,31,25,61.71,100.0
20,4,10,71.23,97.95
5,3,20,98.84,100.0
5,21,10,82.09,100.0
15,17,17,70.73,100.0
3,34,7,65.3,73.95
10,16,24,96.81,100.0
8,49,6,74.49,92.63
2,49,27,72.27,100.0
18,23,13,94.32,100.0
7,1,15,84.18,100.0
4,12,30,66.75,100.0
3,14,30,76.86,100.0
5,4,11,97.13,82.04
1,2,8,96.05,72.66
19,36,19,62.8,100.0
10,36,28,70.74,100.0
3,36,22,66.18,100.0
14,2,20,81.35,100.0
5,34,15,90.0,100.0
16,22,20,71.82,100.0
5,27,18,90.32,100.0
18,29,15,86.75,100.0
1,17,8,89.13,91.42
14,35,12,97.93,100.0
10,32,25,76.98,100.0
7,25,4,73.7,82.09
18,47,21,87.35,100.0
12,39,18,92.3,100.0
11,16,9,67.66,86.82
4,39,6,93.87,88.67
5,6,8,62.31,57.84
3,7,24,60.26,85.67
18,30,13,66.34,100.0
19,11,14,99.15,100.0
0,47,12,80.94,100.0
19,30,9,61.86,100.0
16,43,13,99.89,100.0
11,18,25,89.8,100.0
14,9,20,93.52,100.0
0,38,22,68.52,100.0
13,11,28,64.22,100.0
5,19,11,80.6,95.79
4,36,27,90.89,100.0
10,47,28,85.51,100.0
3,40,18,85.24,100.0
12,6,5,90.28,93.09
10,13,11,69.08,92.0
2,10,23,86.46,100.0
0,6,12,75.68,80.69
5,28,7,62.79,83.42
17,9,15,68.09,100.0
9,28,1,91.76,88.87
4,8,21,95.84,100.0
9,35,6,71.31,88.28
11,47,11,67.61,100.0
1,9,6,61.07,57.37
12,18,18,97.91,100.0
7,30,13,87.35,100.0
1,16,29,98.28,100.0
19,8,8,94.55,100.0
0,44,17,73.62,100.0
4,32,10,64.51,80.69
8,33,15,79.96,100.0
16,44,18,61.07,100.0
8,23,30,66.0,100.0
10,8,10,69.34,81.98
14,6,17,86.63,100.0
5,15,10,80.4,98.11
2,18,24,72.1,100.0
16,38,3,82.59,98.71
4,5,17,65.01,78.3
11,49,18,90.23,100.0
17,50,12,88.48,100.0
13,10,3,68.66,72.11
20,11,30,84.26,100.0
10,41,29,80.13,100.0
8,12,9,62.43,84.4
1,11,28,71.13,100.0
11,20,21,99.98,100.0
2,9,4,63.98,54.42
2,19,2,80.26,65.77
0,49,15,93.97,100.0
7,35,25,72.03,100.0
7,27,7,70.43,85.31
10,23,23,95.63,100.0
8,4,6,72.19,68.03
4,36,18,86.06,100.0
13,11,13,89.61,100.0
2,34,14,91.54,100.0
20,39,16,99.79,100.0
4,1,20,92.13,100.0
4,49,0,86.28,75.32
18,40,5,95.82,100.0
13,44,26,96.23,100.0
3,38,22,98.93,100.0
12,41,14,91.06,100.0
9,8,30,67.8,100.0
17,21,11,88.39,100.0
7,46,20,63.01,100.0
7,4,19,72.72,100.0
6,11,1,64.63,42.15
7,0,4,98.0,58.09
13,43,8,73.55,100.0
18,21,19,88.53,100.0
5,37,13,82.85,100.0
0,50,17,64.3,91.7
14,18,28,82.45,100.0
0,15,30,86.44,100.0
16,30,21,95.26,100.0
0,50,7,62.8,64.13
14,2,1,71.83,54.18
1,22,8,87.69,97.4
13,41,6,61.37,84.92
20,17,29,68.14,100.0
7,25,28,68.75,100.0
7,12,17,86.77,100.0
18,17,26,71.44,100.0
6,2,15,83.98,100.0
18,22,20,98.61,100.0
5,2,4,91.73,77.07
5,24,22,73.32,100.0
2,26,28,78.9,100.0
6,43,14,68.03,100.0
18,26,4,60.63,84.35
7,38,10,71.59,92.84
9,24,29,74.78,100.0
19,23,21,82.57,100.0
14,7,13,97.76,100.0
14,8,24,97.91,100.0
0,45,18,62.8,99.61
19,36,2,84.59,89.41
6,29,23,61.69,100.0
3,18,9,85.92,92.71
5,15,27,64.71,100.0
0,23,5,97.86,86.8
4,43,27,94.57,100.0
0,20,25,60.89,100.0
3,35,2,91.29,74.66
1,39,1,85.44,69.77
9,38,12,79.81,100.0
4,46,17,84.11,100.0
9,5,1,87.13,71.03
0,4,14,95.38,89.87
5,13,4,90.69,89.01
12,44,14,83.02,100.0
14,41,27,92.98,100.0
3,49,20,99.48,100.0
12,3,16,72.01,100.0
19,7,1,64.74,76.78
14,23,17,89.26,100.0
7,10,14,99.14,100.0
4,16,19,64.67,94.44
14,49,22,77.27,100.0
3,20,2,62.49,50.61
11,25,4,91.06,100.0
12,42,10,97.95,100.0
1,47,8,79.96,90.06
18,43,4,76.38,97.17
18,44,24,96.31,100.0
3,26,0,65.34,45.75
3,15,24,95.66,100.0
10,25,13,75.69,100.0
4,32,4,82.38,83.5
19,30,7,81.13,100.0
